phase,display_name,start,end,master_samples,metric_samples,batch_evict_events,batch_evict_events_per_hour,first_batch_evict,last_batch_evict,median_evicted_keys,median_released_memory_gib,median_kv_p50_ms,median_kv_p95_ms,median_kv_p99_ms,median_ttft_avg_ms,median_ttft_p95_ms,median_ttft_p99_ms
shared,Shared master,2026-09-10 12:00:00,2026-09-10 15:41:00,443,432,48,13.002257336343114,2026-09-10 12:42:00,2026-09-10 15:34:00,111608.5,44.5,38.0,466.0,493.0,2525.0,5000.0,5800.0
independent,Independent master,2026-09-10 15:52:30,2026-09-11 06:00:00,1696,1696,315,22.287735849056606,2026-09-10 17:19:00,2026-09-11 05:58:30,73159.0,59.0,33.0,91.0,222.0,1610.0,5600.0,7430.0
