metric,metric_label,event_samples,control_samples,zero_lag_correlation,zero_lag_ci_lower,zero_lag_ci_upper,peak_absolute_lag_seconds,peak_absolute_correlation,event_mean_fluctuation_percent,control_mean_fluctuation_percent,event_minus_control_mean_percent,event_median_fluctuation_percent,control_median_fluctuation_percent,event_raw_mean_ms,control_raw_mean_ms,event_minus_control_raw_mean_ms,event_raw_median_ms,control_raw_median_ms,event_minus_control_raw_median_ms
kv_p50_ms,KV transfer P50,298,903,-0.0227142095456481,-0.07323516148192785,0.021317428945730656,30,0.03321355999568655,-0.8478272135150623,-0.47401234981416757,-0.37381486370089473,0.0,0.0,34.04362416107382,34.02436323366556,0.019260927408261352,34.0,34.0,0.0
kv_p95_ms,KV transfer P95,298,903,0.034647275471583694,-0.0031692278706954083,0.07272449873345338,210,0.06338374935963996,45.64866243412691,38.616347608647814,7.032314825479098,1.601464195836193,0.0,147.69127516778522,140.1140642303433,7.577210937441919,99.0,96.0,3.0
kv_p99_ms,KV transfer P99,298,903,0.026891011632702043,-0.020690158880149186,0.06890125544419459,-180,-0.03561938939779156,11.342464885991337,6.949527416754676,4.392937469236661,0.0,-0.13793103448275862,391.11744966442956,368.3455149501661,22.771934714263466,367.0,367.0,0.0
ttft_avg_ms,TTFT average,298,903,0.010383228790249666,-0.035391557987470575,0.054357011169458964,30,0.053909509509686176,0.6576079901464409,0.1858643694298401,0.4717436207166008,-0.273224043715847,0.5494505494505495,1814.275167785235,1793.0808416389812,21.194326146253843,1790.0,1800.0,-10.0
ttft_p95_ms,TTFT P95,298,903,-0.008473494801780319,-0.03901512334873461,0.017167584185524686,90,-0.04910176385488151,1.7643510565908533,2.2817799620710963,-0.517428905480243,-0.37413554633471646,0.0,6094.127516778523,6050.498338870432,43.62917790809115,5980.0,5970.0,10.0
ttft_p99_ms,TTFT P99,298,903,0.006796142455569125,-0.03470831869732035,0.045056843016903776,90,-0.04524597005837235,11.720551312095138,11.087211716020002,0.6333395960751353,0.0,0.06480881399870382,8550.872483221476,8386.345514950166,164.52696827130967,7650.0,7650.0,0.0
